iucn_sid,sciname,worms_name,mapped,assessment_id,scientific_name,iucn_category,iucn_category_code,kingdom_name,phylum_name,class_name,order_name,family_name,genus_name,species_name,subpopulation_name,infra_name,species,subpopulation,infrarank,pop_trend_desc,pop_trend_code
155063,dicrolene hubrechti,dicrolene hubrechti,FALSE,115266845,Dicrolene hubrechti,Least Concern,LC,ANIMALIA,CHORDATA,ACTINOPTERYGII,OPHIDIIFORMES,OPHIDIIDAE,Dicrolene,hubrechti,NA,NA,TRUE,FALSE,FALSE,Unknown,3
155064,apogon notatus,ostorhinchus notatus,FALSE,4690236,Apogon notatus,Least Concern,LC,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,APOGONIDAE,Apogon,notatus,NA,NA,TRUE,FALSE,FALSE,Stable,2
155065,stelgistrum beringianum,stelgistrum beringianum,FALSE,115267063,Stelgistrum beringianum,Data Deficient,DD,ANIMALIA,CHORDATA,ACTINOPTERYGII,SCORPAENIFORMES,COTTIDAE,Stelgistrum,beringianum,NA,NA,TRUE,FALSE,FALSE,Unknown,3
155066,samariscus huysmani,samariscus huysmani,FALSE,144940631,Samariscus huysmani,Least Concern,LC,ANIMALIA,CHORDATA,ACTINOPTERYGII,PLEURONECTIFORMES,SAMARIDAE,Samariscus,huysmani,NA,NA,TRUE,FALSE,FALSE,Unknown,3
155067,pseudanthias caudalis,pseudanthias caudalis,FALSE,115267510,Pseudanthias caudalis,Least Concern,LC,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,ANTHIADIDAE,Pseudanthias,caudalis,NA,NA,TRUE,FALSE,FALSE,Unknown,3
155068,remora brachyptera,remora brachyptera,FALSE,4721000,Remora brachyptera,Least Concern,LC,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,ECHENEIDAE,Remora,brachyptera,NA,NA,TRUE,FALSE,FALSE,Stable,2
155069,ophichthus melanoporus,ophichthus melanoporus,FALSE,115267703,Ophichthus melanoporus,Least Concern,LC,ANIMALIA,CHORDATA,ACTINOPTERYGII,ANGUILLIFORMES,OPHICHTHIDAE,Ophichthus,melanoporus,NA,NA,TRUE,FALSE,FALSE,Unknown,3
155070,samariscus filipectoralis,samariscus filipectoralis,FALSE,144940855,Samariscus filipectoralis,Data Deficient,DD,ANIMALIA,CHORDATA,ACTINOPTERYGII,PLEURONECTIFORMES,SAMARIDAE,Samariscus,filipectoralis,NA,NA,TRUE,FALSE,FALSE,Unknown,3
155071,gorgasia maculata,gorgasia maculata,FALSE,115268165,Gorgasia maculata,Least Concern,LC,ANIMALIA,CHORDATA,ACTINOPTERYGII,ANGUILLIFORMES,CONGRIDAE,Gorgasia,maculata,NA,NA,TRUE,FALSE,FALSE,Unknown,3
155072,conger verreauxi,conger verreauxi,FALSE,4724648,Conger verreauxi,Least Concern,LC,ANIMALIA,CHORDATA,ACTINOPTERYGII,ANGUILLIFORMES,CONGRIDAE,Conger,verreauxi,NA,NA,TRUE,FALSE,FALSE,Unknown,3
155073,doryrhamphus janssi,doryrhamphus janssi,TRUE,67621213,Doryrhamphus janssi,Least Concern,LC,ANIMALIA,CHORDATA,ACTINOPTERYGII,SYNGNATHIFORMES,SYNGNATHIDAE,Doryrhamphus,janssi,NA,NA,TRUE,FALSE,FALSE,Unknown,3
155074,patagonotothen cornucola,patagonotothen cornucola,FALSE,115268683,Patagonotothen cornucola,Least Concern,LC,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,NOTOTHENIIDAE,Patagonotothen,cornucola,NA,NA,TRUE,FALSE,FALSE,Unknown,3
155075,remora albescens,remora albescens,FALSE,4726238,Remora albescens,Least Concern,LC,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,ECHENEIDAE,Remora,albescens,NA,NA,TRUE,FALSE,FALSE,Unknown,3
155076,halichoeres notospilus,halichoeres notospilus,TRUE,4726953,Halichoeres notospilus,Least Concern,LC,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,LABRIDAE,Halichoeres,notospilus,NA,NA,TRUE,FALSE,FALSE,Stable,2
155077,lycenchelys monstrosa,lycenchelys monstrosa,FALSE,115268882,Lycenchelys monstrosa,Least Concern,LC,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,ZOARCIDAE,Lycenchelys,monstrosa,NA,NA,TRUE,FALSE,FALSE,Unknown,3
155078,pterygotrigla hemisticta,pterygotrigla hemisticta,FALSE,115269092,Pterygotrigla hemisticta,Least Concern,LC,ANIMALIA,CHORDATA,ACTINOPTERYGII,SCORPAENIFORMES,TRIGLIDAE,Pterygotrigla,hemisticta,NA,NA,TRUE,FALSE,FALSE,Unknown,3
155079,torquigener tuberculiferus,torquigener tuberculiferus,TRUE,4692825,Torquigener tuberculiferus,Least Concern,LC,ANIMALIA,CHORDATA,ACTINOPTERYGII,TETRAODONTIFORMES,TETRAODONTIDAE,Torquigener,tuberculiferus,NA,NA,TRUE,FALSE,FALSE,Unknown,3
155080,hyporhamphus roberti,hyporhamphus roberti,FALSE,723760,Hyporhamphus roberti,Least Concern,LC,ANIMALIA,CHORDATA,ACTINOPTERYGII,BELONIFORMES,HEMIRAMPHIDAE,Hyporhamphus,roberti,NA,NA,TRUE,FALSE,FALSE,Unknown,3
155081,hyperoglyphe perciformis,hyperoglyphe perciformis,FALSE,115269643,Hyperoglyphe perciformis,Least Concern,LC,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,CENTROLOPHIDAE,Hyperoglyphe,perciformis,NA,NA,TRUE,FALSE,FALSE,Unknown,3
155082,eumicrotremus barbatus,eumicrotremus barbatus,FALSE,115269938,Eumicrotremus barbatus,Data Deficient,DD,ANIMALIA,CHORDATA,ACTINOPTERYGII,SCORPAENIFORMES,CYCLOPTERIDAE,Eumicrotremus,barbatus,NA,NA,TRUE,FALSE,FALSE,Unknown,3
155083,centropyge acanthops,centropyge acanthops,TRUE,4694588,Centropyge acanthops,Least Concern,LC,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,POMACANTHIDAE,Centropyge,acanthops,NA,NA,TRUE,FALSE,FALSE,Stable,2
155084,champsodon capensis,champsodon capensis,FALSE,4695047,Champsodon capensis,Least Concern,LC,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,CHAMPSODONTIDAE,Champsodon,capensis,NA,NA,TRUE,FALSE,FALSE,Unknown,3
155085,pseudocyttus maculatus,pseudocyttus maculatus,FALSE,115270170,Pseudocyttus maculatus,Data Deficient,DD,ANIMALIA,CHORDATA,ACTINOPTERYGII,ZEIFORMES,OREOSOMATIDAE,Pseudocyttus,maculatus,NA,NA,TRUE,FALSE,FALSE,Decreasing,1
155086,omobranchus fasciolatus,omobranchus fasciolatus,TRUE,4696147,Omobranchus fasciolatus,Least Concern,LC,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,BLENNIIDAE,Omobranchus,fasciolatus,NA,NA,TRUE,FALSE,FALSE,Stable,2
155087,pseudopercis numida,pseudopercis numida,FALSE,115270557,Pseudopercis numida,Least Concern,LC,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,PINGUIPEDIDAE,Pseudopercis,numida,NA,NA,TRUE,FALSE,FALSE,Stable,2
155088,enophrys taurina,enophrys taurina,FALSE,115270779,Enophrys taurina,Least Concern,LC,ANIMALIA,CHORDATA,ACTINOPTERYGII,SCORPAENIFORMES,COTTIDAE,Enophrys,taurina,NA,NA,TRUE,FALSE,FALSE,Unknown,3
155089,lutjanus decussatus,lutjanus decussatus,FALSE,115270971,Lutjanus decussatus,Least Concern,LC,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,LUTJANIDAE,Lutjanus,decussatus,NA,NA,TRUE,FALSE,FALSE,Decreasing,1
155090,cociella punctata,cociella punctata,FALSE,4699021,Cociella punctata,Least Concern,LC,ANIMALIA,CHORDATA,ACTINOPTERYGII,SCORPAENIFORMES,PLATYCEPHALIDAE,Cociella,punctata,NA,NA,TRUE,FALSE,FALSE,Unknown,3
155091,enchelycore schismatorhynchus,enchelycore schismatorhynchus,FALSE,115271324,Enchelycore schismatorhynchus,Least Concern,LC,ANIMALIA,CHORDATA,ACTINOPTERYGII,ANGUILLIFORMES,MURAENIDAE,Enchelycore,schismatorhynchus,NA,NA,TRUE,FALSE,FALSE,Unknown,3
155093,derichthys serpentinus,derichthys serpentinus,FALSE,115271973,Derichthys serpentinus,Least Concern,LC,ANIMALIA,CHORDATA,ACTINOPTERYGII,ANGUILLIFORMES,DERICHTHYIDAE,Derichthys,serpentinus,NA,NA,TRUE,FALSE,FALSE,Unknown,3
155094,clinocottus globiceps,clinocottus globiceps,FALSE,4701018,Clinocottus globiceps,Least Concern,LC,ANIMALIA,CHORDATA,ACTINOPTERYGII,SCORPAENIFORMES,COTTIDAE,Clinocottus,globiceps,NA,NA,TRUE,FALSE,FALSE,Unknown,3
155095,cantheschenia longipinnis,cantheschenia longipinnis,FALSE,4701465,Cantheschenia longipinnis,Least Concern,LC,ANIMALIA,CHORDATA,ACTINOPTERYGII,TETRAODONTIFORMES,MONACANTHIDAE,Cantheschenia,longipinnis,NA,NA,TRUE,FALSE,FALSE,Unknown,3
155096,sarda sarda,sarda sarda,TRUE,46927291,Sarda sarda,Least Concern,LC,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,SCOMBRIDAE,Sarda,sarda,NA,NA,TRUE,FALSE,FALSE,Stable,2
155097,caesio caerulaurea,caesio caerulaurea,FALSE,4703967,Caesio caerulaurea,Least Concern,LC,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,CAESIONIDAE,Caesio,caerulaurea,NA,NA,TRUE,FALSE,FALSE,Unknown,3
155098,chromis flavicauda,chromis flavicauda,FALSE,4704720,Chromis flavicauda,Data Deficient,DD,ANIMALIA,CHORDATA,ACTINOPTERYGII,NOT ASSIGNED,POMACENTRIDAE,Chromis,flavicauda,NA,NA,TRUE,FALSE,FALSE,Unknown,3
155099,omobranchus anolius,omobranchus anolius,TRUE,4704977,Omobranchus anolius,Least Concern,LC,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,BLENNIIDAE,Omobranchus,anolius,NA,NA,TRUE,FALSE,FALSE,Stable,2
