aphiaid,current_area_km2,scenario,scenario_area_km2,area_change
289896,469695.0909673841,RCP45_2050,468964.2555057107,contraction
289896,469695.0909673841,RCP45_2100,471393.79368042765,expansion
289896,469695.0909673841,RCP85_2050,490438.7696519268,expansion
289896,469695.0909673841,RCP85_2100,461374.285556509,contraction
289939,1095638.3211972986,RCP45_2050,1095758.7498050942,expansion
289939,1095638.3211972986,RCP45_2100,1243497.7035285544,expansion
289939,1095638.3211972986,RCP85_2050,1142001.5560028371,expansion
289939,1095638.3211972986,RCP85_2100,1278093.9765540329,expansion
290083,1184586.0757145337,RCP45_2050,1165436.4239174563,contraction
290083,1184586.0757145337,RCP45_2100,1118291.327740848,contraction
290083,1184586.0757145337,RCP85_2050,1142031.1391283907,contraction
290083,1184586.0757145337,RCP85_2100,1030538.1700685747,contraction
290421,579104.0852494072,RCP45_2050,522132.5189869122,contraction
290421,579104.0852494072,RCP45_2100,445971.6480418593,contraction
290421,579104.0852494072,RCP85_2050,531349.2501606563,contraction
290421,579104.0852494072,RCP85_2100,401472.8903502458,contraction
290422,545007.2112033096,RCP45_2050,463768.49558885035,contraction
290422,545007.2112033096,RCP45_2100,403255.21896946314,contraction
290422,545007.2112033096,RCP85_2050,481277.1483925589,contraction
290422,545007.2112033096,RCP85_2100,415861.1316644067,contraction
290423,727166.9059680852,RCP45_2050,691239.2871231752,contraction
290423,727166.9059680852,RCP45_2100,692198.6607418351,contraction
290423,727166.9059680852,RCP85_2050,685707.3488801623,contraction
290423,727166.9059680852,RCP85_2100,654802.7110898115,contraction
290425,3303515.318755321,RCP45_2050,4276785.451011549,expansion
290425,3303515.318755321,RCP45_2100,4938438.567440254,expansion
290425,3303515.318755321,RCP85_2050,4493844.142018798,expansion
290425,3303515.318755321,RCP85_2100,4873954.082598531,expansion
290426,1084194.6921006497,RCP45_2050,907946.1832753797,contraction
290426,1084194.6921006497,RCP45_2100,876529.2845847779,contraction
290426,1084194.6921006497,RCP85_2050,875662.0927673818,contraction
290426,1084194.6921006497,RCP85_2100,692483.4387828953,contraction
290427,1059926.2480795917,RCP45_2050,960297.3027393342,contraction
290427,1059926.2480795917,RCP45_2100,796504.3734862875,contraction
290427,1059926.2480795917,RCP85_2050,881516.5542689454,contraction
290427,1059926.2480795917,RCP85_2100,483454.3280813129,contraction
291119,1545296.1170778777,RCP45_2050,1468011.178832425,contraction
291119,1545296.1170778777,RCP45_2100,1444497.9166033026,contraction
291119,1545296.1170778777,RCP85_2050,1461940.1917671883,contraction
291119,1545296.1170778777,RCP85_2100,1207346.7319677516,contraction
293541,2433489.2682547295,RCP45_2050,1932855.3333277672,contraction
293541,2433489.2682547295,RCP45_2100,1967071.270553739,contraction
293541,2433489.2682547295,RCP85_2050,1946816.8236620335,contraction
293541,2433489.2682547295,RCP85_2100,1978468.32831071,contraction
295747,147971.2458528738,RCP45_2050,55489.997607580604,contraction
295747,147971.2458528738,RCP45_2100,51748.347748740554,contraction
295747,147971.2458528738,RCP85_2050,85551.89502795837,contraction
295747,147971.2458528738,RCP85_2100,15064.83671311377,contraction
298424,500360.6095207154,RCP45_2050,461199.979378233,contraction
298424,500360.6095207154,RCP45_2100,451798.5573490649,contraction
298424,500360.6095207154,RCP85_2050,447931.0099952581,contraction
298424,500360.6095207154,RCP85_2100,438910.83562996064,contraction
298552,1254755.4812003844,RCP45_2050,842055.6103836738,contraction
298552,1254755.4812003844,RCP45_2100,855452.3132141557,contraction
298552,1254755.4812003844,RCP85_2050,824714.6909246485,contraction
298552,1254755.4812003844,RCP85_2100,791494.1075283178,contraction
298791,851283.2035757358,RCP45_2050,738964.3009695951,contraction
298791,851283.2035757358,RCP45_2100,630235.5594900128,contraction
298791,851283.2035757358,RCP85_2050,675540.3487320497,contraction
298791,851283.2035757358,RCP85_2100,403048.8957131848,contraction
298792,3084672.503605583,RCP45_2050,3047054.033485984,contraction
298792,3084672.503605583,RCP45_2100,3057222.3761850856,contraction
298792,3084672.503605583,RCP85_2050,3079251.8149915333,contraction
298792,3084672.503605583,RCP85_2100,3202217.634041655,expansion
299089,10504764.379803006,RCP45_2050,9665409.61533238,contraction
299089,10504764.379803006,RCP45_2100,9736326.431349155,contraction
299089,10504764.379803006,RCP85_2050,9611690.259192765,contraction
299089,10504764.379803006,RCP85_2100,9352428.95312701,contraction
299099,1498156.0916390708,RCP45_2050,4991.444814373946,contraction
299099,1498156.0916390708,RCP45_2100,0,spp range loss
299099,1498156.0916390708,RCP85_2050,0,spp range loss
299099,1498156.0916390708,RCP85_2100,0,spp range loss
299100,1430470.9436327422,RCP45_2050,962564.653703207,contraction
299100,1430470.9436327422,RCP45_2100,946213.0139244276,contraction
299100,1430470.9436327422,RCP85_2050,884976.485861166,contraction
299100,1430470.9436327422,RCP85_2100,970072.8001116468,contraction
299184,5211900.082640392,RCP45_2050,5065190.526534068,contraction
299184,5211900.082640392,RCP45_2100,4846804.067075386,contraction
299184,5211900.082640392,RCP85_2050,5035965.4325295305,contraction
299184,5211900.082640392,RCP85_2100,4733634.658673174,contraction
305689,2907690.07154806,RCP45_2050,2552947.7655708557,contraction
305689,2907690.07154806,RCP45_2100,2593423.4016171694,contraction
305689,2907690.07154806,RCP85_2050,2562414.8608956044,contraction
305689,2907690.07154806,RCP85_2100,2615732.2884385055,contraction
309494,1109001.797506149,RCP45_2050,995374.8674995556,contraction
309494,1109001.797506149,RCP45_2100,738710.6812384095,contraction
309494,1109001.797506149,RCP85_2050,925741.7780187621,contraction
309494,1109001.797506149,RCP85_2100,464928.29928918375,contraction
309999,3030837.994831155,RCP45_2050,2815650.5064293044,contraction
309999,3030837.994831155,RCP45_2100,2604675.97546973,contraction
309999,3030837.994831155,RCP85_2050,2571002.7357506827,contraction
309999,3030837.994831155,RCP85_2100,2389383.7615797604,contraction
310593,719219.763731946,RCP45_2050,483387.3029659916,contraction
310593,719219.763731946,RCP45_2100,400407.8877446138,contraction
310593,719219.763731946,RCP85_2050,484175.3841612382,contraction
310593,719219.763731946,RCP85_2100,367165.6255337304,contraction
313009,482985.7182810117,RCP45_2050,203481.49453859075,contraction
313009,482985.7182810117,RCP45_2100,185507.08269446972,contraction
313009,482985.7182810117,RCP85_2050,192813.46686532977,contraction
313009,482985.7182810117,RCP85_2100,160094.2854192765,contraction
313100,7420357.121138204,RCP45_2050,6980493.293769456,contraction
313100,7420357.121138204,RCP45_2100,6760637.688381063,contraction
313100,7420357.121138204,RCP85_2050,6983408.682300176,contraction
313100,7420357.121138204,RCP85_2100,6671938.862615748,contraction
313932,284774.32275199215,RCP45_2050,206130.37290073102,contraction
313932,284774.32275199215,RCP45_2100,150782.50767223377,contraction
313932,284774.32275199215,RCP85_2050,171161.87351316257,contraction
313932,284774.32275199215,RCP85_2100,106993.64948418866,contraction
315723,427919.5746816276,RCP45_2050,438723.88320913626,expansion
315723,427919.5746816276,RCP45_2100,431857.2759273758,expansion
315723,427919.5746816276,RCP85_2050,465655.44169215,expansion
315723,427919.5746816276,RCP85_2100,456770.05582191993,expansion
316762,568411.7273971457,RCP45_2050,585074.5209725393,expansion
316762,568411.7273971457,RCP45_2100,588679.1240855707,expansion
316762,568411.7273971457,RCP85_2050,575496.256429892,expansion
316762,568411.7273971457,RCP85_2100,572315.3438080574,expansion
316765,717317.1376948684,RCP45_2050,415261.1941133585,contraction
316765,717317.1376948684,RCP45_2100,390039.83681838604,contraction
316765,717317.1376948684,RCP85_2050,414586.59984838177,contraction
316765,717317.1376948684,RCP85_2100,376949.6800049398,contraction
321912,1078617.122871,RCP45_2050,1100137.0550331292,expansion
321912,1078617.122871,RCP45_2100,1218838.796477367,expansion
321912,1078617.122871,RCP85_2050,1140566.5420322935,expansion
321912,1078617.122871,RCP85_2100,1547358.658619482,expansion
341987,360196.0305782351,RCP45_2050,398118.7614392385,expansion
341987,360196.0305782351,RCP45_2100,389039.48639853613,expansion
341987,360196.0305782351,RCP85_2050,379842.23243851686,expansion
341987,360196.0305782351,RCP85_2100,451053.7391505302,expansion
342098,2574067.448530345,RCP45_2050,2633295.1675447756,expansion
342098,2574067.448530345,RCP45_2100,2723565.390174258,expansion
342098,2574067.448530345,RCP85_2050,2641862.7019901723,expansion
342098,2574067.448530345,RCP85_2100,2792597.762873938,expansion
343897,98714.8224563781,RCP45_2050,123884.19286888393,expansion
343897,98714.8224563781,RCP45_2100,81675.98405881795,contraction
343897,98714.8224563781,RCP85_2050,61096.63792089828,contraction
343897,98714.8224563781,RCP85_2100,13913.78438295804,contraction
343898,3221549.1529264464,RCP45_2050,3217103.2258898807,contraction
343898,3221549.1529264464,RCP45_2100,3324168.358093553,expansion
343898,3221549.1529264464,RCP85_2050,3413803.1613021456,expansion
343898,3221549.1529264464,RCP85_2100,2899385.3628190686,contraction
343899,14104702.007661622,RCP45_2050,14142141.216375975,expansion
343899,14104702.007661622,RCP45_2100,14071777.463161357,contraction
343899,14104702.007661622,RCP85_2050,13939854.174774496,contraction
343899,14104702.007661622,RCP85_2100,13183694.500099255,contraction
343990,1101698.867668856,RCP45_2050,994937.7050380891,contraction
343990,1101698.867668856,RCP45_2100,884308.0491610785,contraction
343990,1101698.867668856,RCP85_2050,968950.3741090322,contraction
343990,1101698.867668856,RCP85_2100,779348.3641914029,contraction
344009,1070160.1150456232,RCP45_2050,1160820.4116784919,expansion
344009,1070160.1150456232,RCP45_2100,1264166.7440908658,expansion
344009,1070160.1150456232,RCP85_2050,1141745.771304038,expansion
344009,1070160.1150456232,RCP85_2100,1367077.428837751,expansion
344070,571181.3373710717,RCP45_2050,214192.0678514723,contraction
344070,571181.3373710717,RCP45_2100,105167.90844473359,contraction
344070,571181.3373710717,RCP85_2050,161590.89065077069,contraction
344070,571181.3373710717,RCP85_2100,7722.513635112755,contraction
367208,3944712.2102133194,RCP45_2050,3827428.327440174,contraction
367208,3944712.2102133194,RCP45_2100,3788874.9090425335,contraction
367208,3944712.2102133194,RCP85_2050,3846524.3389690397,contraction
367208,3944712.2102133194,RCP85_2100,3743786.4527188167,contraction
367212,4554806.754156885,RCP45_2050,5029332.896985577,expansion
367212,4554806.754156885,RCP45_2100,5290292.888441124,expansion
367212,4554806.754156885,RCP85_2050,5084174.940393915,expansion
367212,4554806.754156885,RCP85_2100,5771424.921314656,expansion
367293,2265315.580204851,RCP45_2050,2310061.1992698563,expansion
367293,2265315.580204851,RCP45_2100,2304489.3226174433,expansion
367293,2265315.580204851,RCP85_2050,2377523.0890002325,expansion
367293,2265315.580204851,RCP85_2100,2396243.5005131583,expansion
367297,1190024.108426458,RCP45_2050,1185441.9117172654,contraction
367297,1190024.108426458,RCP45_2100,1205565.5845327738,expansion
367297,1190024.108426458,RCP85_2050,1236483.8995649994,expansion
367297,1190024.108426458,RCP85_2100,1333614.5933359524,expansion
368478,7238812.791747864,RCP45_2050,6396165.966258258,contraction
368478,7238812.791747864,RCP45_2100,6338324.215064439,contraction
368478,7238812.791747864,RCP85_2050,6320161.283669455,contraction
368478,7238812.791747864,RCP85_2100,6471618.505965604,contraction
382205,5661905.099295369,RCP45_2050,5771728.077563477,expansion
382205,5661905.099295369,RCP45_2100,6022608.705453575,expansion
382205,5661905.099295369,RCP85_2050,5640435.897625009,contraction
382205,5661905.099295369,RCP85_2100,6548510.283572506,expansion
383586,5552536.060746521,RCP45_2050,5019589.077782467,contraction
383586,5552536.060746521,RCP45_2100,6669125.435433798,expansion
383586,5552536.060746521,RCP85_2050,6489434.671534316,expansion
383586,5552536.060746521,RCP85_2100,12378415.232133586,expansion
388572,307068.0262505741,RCP45_2050,314876.8112159037,expansion
388572,307068.0262505741,RCP45_2100,346633.4755771031,expansion
388572,307068.0262505741,RCP85_2050,311294.4685376932,expansion
388572,307068.0262505741,RCP85_2100,271291.51443479635,contraction
389060,897507.4336055988,RCP45_2050,799864.5195663623,contraction
389060,897507.4336055988,RCP45_2100,774604.3636657879,contraction
389060,897507.4336055988,RCP85_2050,807831.6598301046,contraction
389060,897507.4336055988,RCP85_2100,708550.5453998757,contraction
390077,146505.92190404618,RCP45_2050,0,spp range loss
390077,146505.92190404618,RCP45_2100,0,spp range loss
390077,146505.92190404618,RCP85_2050,0,spp range loss
390077,146505.92190404618,RCP85_2100,0,spp range loss
390092,818961.2993281055,RCP45_2050,948162.2243193379,expansion
390092,818961.2993281055,RCP45_2100,997426.89374474,expansion
390092,818961.2993281055,RCP85_2050,976698.5815593569,expansion
390092,818961.2993281055,RCP85_2100,1088481.7379983962,expansion
390098,390414.2309327812,RCP45_2050,621961.3281004918,expansion
390098,390414.2309327812,RCP45_2100,797156.9795968571,expansion
390098,390414.2309327812,RCP85_2050,718665.6959135657,expansion
390098,390414.2309327812,RCP85_2100,1119373.041914383,expansion
390099,567628.1417978135,RCP45_2050,444087.03210228775,contraction
390099,567628.1417978135,RCP45_2100,392952.3801172269,contraction
390099,567628.1417978135,RCP85_2050,397264.4459777823,contraction
390099,567628.1417978135,RCP85_2100,269743.4748190626,contraction
390271,177714.78918760843,RCP45_2050,198439.80537120102,expansion
390271,177714.78918760843,RCP45_2100,191404.91180458438,expansion
390271,177714.78918760843,RCP85_2050,205251.39802395084,expansion
390271,177714.78918760843,RCP85_2100,180996.51537089905,expansion
397082,1137694.4657510323,RCP45_2050,1137725.0288919539,expansion
397082,1137694.4657510323,RCP45_2100,1191460.126389126,expansion
397082,1137694.4657510323,RCP85_2050,1171476.6497965413,expansion
397082,1137694.4657510323,RCP85_2100,1246042.1144057575,expansion
398233,87595.2474009394,RCP45_2050,89349.8038109677,expansion
398233,87595.2474009394,RCP45_2100,87844.37825476908,expansion
398233,87595.2474009394,RCP85_2050,89719.63674465474,expansion
398233,87595.2474009394,RCP85_2100,87535.34842179461,contraction
398234,368070.8810789073,RCP45_2050,521061.0845770854,expansion
398234,368070.8810789073,RCP45_2100,523728.42353972065,expansion
398234,368070.8810789073,RCP85_2050,482369.6260761123,expansion
398234,368070.8810789073,RCP85_2100,547655.292895078,expansion
398241,1258190.7709735346,RCP45_2050,124382.1416612949,contraction
398241,1258190.7709735346,RCP45_2100,107979.01799978735,contraction
398241,1258190.7709735346,RCP85_2050,130693.82860732518,contraction
398241,1258190.7709735346,RCP85_2100,42883.83502068238,contraction
398246,1268777.678773648,RCP45_2050,1151531.9201141607,contraction
398246,1268777.678773648,RCP45_2100,1134201.428046171,contraction
398246,1268777.678773648,RCP85_2050,1125478.8744231975,contraction
398246,1268777.678773648,RCP85_2100,936644.851881482,contraction
398249,729974.123311115,RCP45_2050,267000.7207122499,contraction
398249,729974.123311115,RCP45_2100,233203.26788826368,contraction
398249,729974.123311115,RCP85_2050,205556.55714919037,contraction
398249,729974.123311115,RCP85_2100,289129.0789432179,contraction
398253,2678220.258866978,RCP45_2050,2677645.9059322933,contraction
398253,2678220.258866978,RCP45_2100,2677861.8934259424,contraction
398253,2678220.258866978,RCP85_2050,2678043.3921077745,contraction
398253,2678220.258866978,RCP85_2100,2682930.231943572,expansion
398263,785028.922576265,RCP45_2050,509028.0363493211,contraction
398263,785028.922576265,RCP45_2100,115594.70700340289,contraction
398263,785028.922576265,RCP85_2050,164625.73548890458,contraction
398263,785028.922576265,RCP85_2100,8032.5199829755975,contraction
398269,821760.3057883327,RCP45_2050,809322.9805440533,contraction
398269,821760.3057883327,RCP45_2100,1244771.96304602,expansion
398269,821760.3057883327,RCP85_2050,814199.3282223376,contraction
398269,821760.3057883327,RCP85_2100,1261359.2808303074,expansion
398270,3373955.734361668,RCP45_2050,1230771.5187575917,contraction
398270,3373955.734361668,RCP45_2100,934272.7977913383,contraction
398270,3373955.734361668,RCP85_2050,801547.1546915265,contraction
398270,3373955.734361668,RCP85_2100,312234.1070370455,contraction
398271,1112564.6667987097,RCP45_2050,788206.2873632995,contraction
398271,1112564.6667987097,RCP45_2100,570776.3480781098,contraction
398271,1112564.6667987097,RCP85_2050,537583.5456123158,contraction
398271,1112564.6667987097,RCP85_2100,408734.3332072934,contraction
398272,879212.4203972821,RCP45_2050,1159082.9050273187,expansion
398272,879212.4203972821,RCP45_2100,1267274.2728042218,expansion
398272,879212.4203972821,RCP85_2050,1230035.6122948248,expansion
398272,879212.4203972821,RCP85_2100,1257382.1553405537,expansion
398273,5721548.907829928,RCP45_2050,2837656.3557806998,contraction
398273,5721548.907829928,RCP45_2100,1968925.3696427785,contraction
398273,5721548.907829928,RCP85_2050,1949268.8671697064,contraction
398273,5721548.907829928,RCP85_2100,407384.1447699313,contraction
398277,314959.73894642625,RCP45_2050,304421.8941895692,contraction
398277,314959.73894642625,RCP45_2100,316832.1064672577,expansion
398277,314959.73894642625,RCP85_2050,312418.8331451796,contraction
398277,314959.73894642625,RCP85_2100,338894.74278097186,expansion
398283,1967225.93546609,RCP45_2050,1703460.7933583932,contraction
398283,1967225.93546609,RCP45_2100,1305539.2573642302,contraction
398283,1967225.93546609,RCP85_2050,1433066.9761305316,contraction
398283,1967225.93546609,RCP85_2100,619432.6070872351,contraction
398291,453946.6306101356,RCP45_2050,419675.57720054383,contraction
398291,453946.6306101356,RCP45_2100,480612.98282256216,expansion
398291,453946.6306101356,RCP85_2050,402603.90453486133,contraction
398291,453946.6306101356,RCP85_2100,489997.97840670473,expansion
398328,6071667.209910483,RCP45_2050,5592282.294229791,contraction
398328,6071667.209910483,RCP45_2100,5207990.861325208,contraction
398328,6071667.209910483,RCP85_2050,5385636.799439685,contraction
398328,6071667.209910483,RCP85_2100,4511693.2452877145,contraction
